 FID  IID       O(HOM)       E(HOM)        N(NM)            F
   1    1      4182594     4.55e+06      5607742      -0.3475
   2    1      4312053    4.352e+06      5324506     -0.04089
   3    1      4214436     4.31e+06      5270935      -0.0995
   4    1      4850885    4.889e+06      6074689     -0.03248
   5    1      3900191    4.159e+06      5077957      -0.2818
   6    1      4363662    4.477e+06      5497635      -0.1112
   7    1      5372784    5.025e+06      6270280       0.2796
   8    1      3806747    4.178e+06      5109816      -0.3977
   9    1      4752946    4.889e+06      6075215      -0.1151
  10    1      4948169    4.955e+06      6169467    -0.005669
  11    1      4080171    4.323e+06      5295563      -0.2499
  12    1      4758737    4.969e+06      6193246       -0.172
  13    1      4380311    4.167e+06      5047969       0.2424
  14    1      5204348    4.867e+06      6020810       0.2923
  15    1      4186589    4.316e+06      5278812      -0.1339
  16    1      5351598     5.08e+06      6337392       0.2158
  17    1      4497388    4.881e+06      6067413      -0.3228
  18    1      3228780     4.41e+06      5381493       -1.215
  19    1      3859594    4.143e+06      5061110      -0.3093
  20    1      4221976    4.205e+06      5119840      0.01805
  21    1      5156639    4.922e+06      6105988       0.1981
  22    1      5398382    4.862e+06      6007851       0.4679
  23    1      5791236    5.115e+06      6382151       0.5337
  24    1      4689865     4.51e+06      5521122       0.1776
