ind,low_het,low_hom,mod_het,mod_hom,high_het,high_hom,null_het,null_homref,null_homalt
1_1,5167,598,4336,360,132,3,214128,859270,21939
2_1,3374,754,3259,397,107,4,162659,788291,30430
3_1,3198,639,3024,392,106,5,160902,740466,25894
4_1,5488,1403,4647,774,130,14,238920,1257101,51906
5_1,3176,390,2886,231,110,2,153552,598654,16555
6_1,3963,771,3669,480,127,6,180334,854449,29923
7_1,4247,2023,4051,1321,136,20,201387,1528833,87831
8_1,3376,286,2980,190,98,4,158847,579430,13156
9_1,5437,890,4167,358,138,11,243037,1214850,32252
10_1,5419,1287,4778,804,156,12,250676,1345085,55434
11_1,3557,494,3140,265,84,6,172884,707524,21160
12_1,6438,1189,5620,679,164,15,287577,1317760,48996
13_1,2332,605,1798,97,70,4,105596,665736,16020
14_1,3564,1330,2619,227,91,5,156413,1237221,35277
15_1,3282,518,3063,306,107,3,160727,731174,23594
16_1,4879,1373,3380,263,112,5,198292,1499461,41931
17_1,6457,785,5552,395,160,7,293377,1181635,33188
18_1,9027,3105,7007,1546,204,24,394525,514876,121491
19_1,3207,390,2971,220,103,4,155326,586008,15905
20_1,2673,563,2717,376,92,3,140473,699748,26088
21_1,4328,1214,3158,217,101,7,179945,1294060,34289
22_1,2699,1798,2066,152,63,7,124024,1290253,45014
23_1,2761,2482,2099,249,69,14,129292,1601456,63360
24_1,3070,707,2275,129,78,7,135245,891437,21434
