           FID            IID       O(HOM)       E(HOM)        N(NM)            F
  Ec1065.rmdup   Ec1065.rmdup      8500296    8.343e+06     10136428      0.08759
  Ec1245.rmdup   Ec1245.rmdup      8875987    8.343e+06     10136428       0.2971
  Ec1325.rmdup   Ec1325.rmdup      8845783    8.343e+06     10136428       0.2803
  Ec1381.rmdup   Ec1381.rmdup      8782091    8.343e+06     10136428       0.2447
  Ec1571.rmdup   Ec1571.rmdup      8691540    8.343e+06     10136428       0.1942
  Ec1704.rmdup   Ec1704.rmdup      8790129    8.343e+06     10136428       0.2492
  Ec1879.rmdup   Ec1879.rmdup      9163236    8.343e+06     10136428       0.4573
  Ec1911.rmdup   Ec1911.rmdup      8551172    8.343e+06     10136428        0.116
  Ec1942.rmdup   Ec1942.rmdup      8691388    8.343e+06     10136428       0.1942
  Ec1959.rmdup   Ec1959.rmdup      8791247    8.343e+06     10136428       0.2498
  Ec2042.rmdup   Ec2042.rmdup      8681811    8.343e+06     10136428       0.1888
  Ec2076.rmdup   Ec2076.rmdup      8596554    8.343e+06     10136428       0.1413
  Ec2225.rmdup   Ec2225.rmdup      9291467    8.343e+06     10136428       0.5288
  Ec2245.rmdup   Ec2245.rmdup      9243808    8.343e+06     10136428       0.5022
  Ec2362.rmdup   Ec2362.rmdup      8797549    8.343e+06     10136428       0.2534
  Ec2499.rmdup   Ec2499.rmdup      9100674    8.343e+06     10136428       0.4224
  Ec2752.rmdup   Ec2752.rmdup      8444489    8.343e+06     10136428      0.05647
  Ec2859.rmdup   Ec2859.rmdup      7501983    8.343e+06     10136428      -0.4691
  Ec2865.rmdup   Ec2865.rmdup      8662689    8.343e+06     10136428       0.1782
  Ec3079.rmdup   Ec3079.rmdup      8998935    8.343e+06     10136428       0.3657
  Ec3088.rmdup   Ec3088.rmdup      9108280    8.343e+06     10136428       0.4266
    Ec39.rmdup     Ec39.rmdup      9457172    8.343e+06     10136428       0.6212
    Ec80.rmdup     Ec80.rmdup      9516042    8.343e+06     10136428        0.654
   Ec926.rmdup    Ec926.rmdup      9144875    8.343e+06     10136428        0.447
