"","dd_KSCOAR_dam.df","dd_KSCOAR_dam.logLik","dd_KSCOAR_dam.AICc","dd_KSCOAR_dam.delta","dd_KSCOAR_dam.weight"
"1",16,590.877804498298,-1147.29407053506,0,0.0623268155747756
"2",17,591.678235516494,-1146.57465285117,0.719417683888423,0.0434966062497349
"3",17,591.201247481085,-1145.62067678035,1.67339375470578,0.0269961667146859
"4",17,591.195414894279,-1145.60901160674,1.6850589283174,0.0268391675296662
"5",15,588.813584090019,-1145.46500601788,1.82906451718077,0.0249746048142828
"6",18,592.221336686774,-1145.31938570231,1.97468483274292,0.0232208212387391
"7",17,590.950505634794,-1145.11919308777,2.17487744728737,0.0210090445131327
"8",17,590.925391581388,-1145.06896498096,2.22510555410008,0.0204879924973082
"9",17,590.923456288629,-1145.06509439544,2.22897613961754,0.0204483805764824
"10",18,592.074658833517,-1145.0260299958,2.26804053925548,0.020052854047282
"11",17,590.880047366891,-1144.97827655196,2.3157939830935,0.0195797284487968
"12",16,589.708235094246,-1144.95493172695,2.33913880810451,0.0193525144292079
"13",18,591.88717197067,-1144.65105627011,2.64301426495126,0.0166246183065234
"14",18,591.699411862431,-1144.27553605363,3.01853448142879,0.0137787082330633
"15",18,591.692843481982,-1144.26239929273,3.03167124232732,0.0136885010172673
"16",18,591.692288683105,-1144.26128969498,3.03278084007957,0.0136809087585702
"17",18,591.538688240025,-1143.95408880882,3.33998172623956,0.0117329473446036
"18",19,592.659903193729,-1143.83356785535,3.46050267970941,0.0110467958754534
"19",18,591.464043465872,-1143.80479926051,3.48927127454567,0.0108890328533725
"20",19,592.592021448865,-1143.69780436562,3.59626616943751,0.0103218052804299
"21",18,591.340198186569,-1143.5571087019,3.73696183315315,0.00962064050643099
"22",18,591.333743875864,-1143.5442000805,3.74987045456214,0.00955874586192725
"23",16,588.998750831346,-1143.53596320115,3.75810733390449,0.00951945969814004
"24",16,588.988479594212,-1143.51542072689,3.77864980817185,0.00942218349885583
"25",16,588.953356628228,-1143.44517479492,3.84889574014096,0.00909699273002135
"26",18,591.272369239272,-1143.42145080731,3.8726197277465,0.00898972174035241
"27",17,590.098608542951,-1143.41539890408,3.87867163097303,0.00896256039253646
"28",16,588.918715096354,-1143.37589173117,3.91817880388885,0.00878725483802826
"29",17,590.06346132019,-1143.34510445856,3.94896607649571,0.00865302284287214
"30",18,591.228112574027,-1143.33293747682,3.9611330582361,0.008600542052467
"31",18,591.219420570803,-1143.31555347037,3.97851706468464,0.00852611006337758
"32",18,591.209019015591,-1143.29475035995,3.9993201751081,0.00843788489373789
"33",18,591.201375572788,-1143.27946347434,4.0146070607143,0.0083736362563613
"34",16,588.843729681761,-1143.22592090198,4.06814963307443,0.00815243734444107
"35",16,588.820437906455,-1143.17933735137,4.11473318368644,0.00796474691250315
"36",19,592.322047546627,-1143.15785656114,4.13621397391444,0.00787966013442587
"37",19,592.316000836428,-1143.14576314075,4.14830739431113,0.00783215787406677
"38",19,592.26987704342,-1143.05351555473,4.24055498032726,0.00747911350496777
"39",19,592.233934838927,-1142.98163114574,4.31243938931448,0.00721507123307117
"40",19,592.231893584477,-1142.97754863684,4.31652189821261,0.00720035845818359
"41",18,591.004183880878,-1142.88508009052,4.40899044453522,0.00687503364583477
"42",18,590.990833169113,-1142.85837866699,4.4356918680653,0.00678385704380484
"43",17,589.813308513603,-1142.84479884539,4.44927168966956,0.00673795128395591
"44",18,590.983803824454,-1142.84431997768,4.44975055738178,0.00673633818342087
"45",18,590.956236684423,-1142.78918569761,4.50488483744493,0.00655317287676393
"46",17,589.770204409041,-1142.75859063626,4.53547989879371,0.00645368838724184
"47",18,590.927098746382,-1142.73090982153,4.5631607135258,0.00636498199328517
"48",18,590.925919097389,-1142.72855052355,4.56552001151204,0.00635747797560924
