FID,ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_LengM,Kilometers
0,2,2008-24 - CHN4,1,73,2,4430.34,4.43
1,3,2008-24 - CHN3,1,72,3,6075.35,6.08
2,4,2008-24 - CHN8,1,77,4,9021.60,9.02
3,5,2008-24 - CHN10,1,70,5,9192.52,9.19
4,6,2008-24 - CHN5,1,74,6,9599.55,9.6
5,7,2008-24 - CHN7,1,76,7,10141.65,10.14
6,8,2008-24 - CHN9,1,78,8,10391.89,10.39
7,9,2008-24 - CHN2,1,71,9,10901.68,10.9
8,10,2008-24 - CHN6,1,75,10,11522.34,11.52
9,11,2008-24 - CHN1,1,69,11,13513.31,13.51
10,12,2008-24 - NFN2,1,142,12,14427.08,14.43
11,13,2008-24 - TNFN1,1,205,13,24576.78,24.58
12,14,2008-24 - NFNINN,1,146,14,25098.94,25.1
13,15,2008-24 - RRC,1,174,15,28047.51,28.05
14,16,2008-24 - NFNTS,1,148,16,29633.11,29.63
15,17,2008-24 - NFN6,1,145,17,37162.73,37.16
16,18,2008-24 - NINNR1,1,150,18,38589.25,38.59
17,19,2008-24 - SFNR5,1,189,19,44572.02,44.57
18,20,2008-24 - GOOSECREEKHWY11,1,109,20,49115.90,49.12
19,21,2008-24 - CLRH2O2,1,96,21,50679.18,50.68
20,22,2008-24 - NFOLD14,1,149,22,54103.87,54.1
21,23,2008-24 - LSMC,1,115,23,54245.64,54.25
22,24,2008-24 - SANDSG,1,179,24,55028.94,55.03
23,25,2008-24 - SILVERH2O,1,194,25,55636.95,55.64
24,26,2008-24 - NTNR1,1,152,26,59720.06,59.72
25,27,2008-24 - SPRINGSG,1,201,27,62126.01,62.13
26,28,2008-24 - SFNR8,1,192,28,66692.82,66.69
27,29,2008-24 - WOLF01,1,211,29,68405.73,68.41
28,30,2008-24 - SILVER01,1,193,30,68674.34,68.67
29,31,2008-24 - COON,1,98,31,69168.62,69.17
30,32,2008-24 - WSU1,1,212,32,71179.37,71.18
31,33,2008-24 - WSU2,1,213,33,71675.23,71.68
32,34,2008-24 - WSU4,1,215,34,71683.30,71.68
33,35,2008-24 - WSU3,1,214,35,71723.30,71.72
34,36,2008-24 - SANDKM,1,178,36,75197.98,75.2
35,37,2008-24 - SFNR7,1,191,37,75944.25,75.94
36,38,2008-24 - NFN5,1,144,38,82716.09,82.72
37,39,2008-24 - TNFNHWY50,1,206,39,87923.44,87.92
38,40,2008-24 - SFNMB,1,184,40,91118.41,91.12
