FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
0,Point,RRC,NFNinnescah,-98.01379,37.9018,473793,Red Rock Creek,0.245,460,STREAM/RIVER,46006,Perennial,0.841913
1,Point,CIMBB2,Cimarron,-99.53309,37.049331,1091369,Cimarron River,2.355,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,7.845621
2,Point,CIMBB,Cimarron,-99.555402,37.070261,1091369,Cimarron River,2.435,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,0.974276
3,Point,SLATE1,LowerArk,-97.642435,37.419675,470338,Slate Creek,0.872,460,STREAM/RIVER,46006,Perennial,4.244445
4,Point,CHIK17,Chikaskia,-97.90465,37.36702, , ,0.823,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,12.029617
5,Point,CHIK7,Chikaskia,-98.20168,37.44685, , ,0.416,460,STREAM/RIVER,46006,Perennial,5.38575
6,Point,TNFN1,NFNinnescah,-97.77153,37.6497, , ,3.776,460,STREAM/RIVER,46006,Perennial,9.929113
7,Point,SLATE3,LowerArk,-97.733499,37.444234,470268,North Branch State Creek,1.477,460,STREAM/RIVER,46006,Perennial,0.332226
8,Point,SLATE4,LowerArk,-97.731541,37.445164,470268,North Branch State Creek,1.477,460,STREAM/RIVER,46006,Perennial,3.85073
9,Point,CRCRK3,Cimarron,-100.36559,37.21232,470687,Crooked Creek,0.908,460,STREAM/RIVER,46006,Perennial,0.745246
10,Point,NFNINN,NFNinnescah,-98.01358,37.86328, , ,0.614,460,STREAM/RIVER,46003,Intermittent,31.462848
11,Point,CHIK19,Chikaskia,-97.86757,37.34221, , ,2.616,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,21.625805
12,Point,SFNDB,SFNinnescah,-98.417577,37.661645,485476,South Fork Ninnescah River,1.166,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,10.167376
13,Point,CHIK11,Chikaskia,-98.0815,37.44556, , ,2.467,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,10.799643
14,Point,ARK10,LowerArk,-98.49562,38.31265,78956,Arkansas River,2.417,460,STREAM/RIVER,46006,Perennial,3.151984
15,Point,ARK5,LowerArk,-98.58244,38.33884,78956,Arkansas River,13.355,460,STREAM/RIVER,46006,Perennial,17.074728
