"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams"
"1","4THST","ARK10",-97.99403,-98.49562,38.05728,38.31265,0.147345702071141,0.339476196405595,0.45531897231561,0.0246959697837546,0.0331631594238991,67312.2745458124,85730.8706189175,0,0
"2","4THST","ARK11",-97.99403,-98.27055,38.05728,38.19434,0.160228444514952,0.367018323153803,0.433489331323868,0.0206234631553899,0.018640437851987,35048.8086672704,44613.1700845548,0,0
"3","4THST","ARK13",-97.99403,-97.36924,38.05728,37.69531,0.198215205079801,0.517556203878497,0.211292260168183,0.061918654539214,0.0110176763343058,82127.9160434756,104153.204396363,0,0
"4","4THST","ARK14",-97.99403,-97.36298,38.05728,37.70825,0.202577428190182,0.522719292085118,0.213954631645481,0.0494767891003582,0.0112718589788609,80266.1386495057,101796.387861569,0,0
"5","4THST","ARK15",-97.99403,-97.28796,38.05728,37.56599,0.174447107528053,0.495696698986818,0.201819370301776,0.119212332498093,0.00882449068525983,103489.646064664,131178.39545072,0,0
"6","4THST","ARK16",-97.99403,-98.2065,38.05728,38.16953,0.17269821631096,0.377874007629653,0.422827095576864,0.018661717702856,0.00793896277966801,26922.0027222557,34255.3585750049,0,0
"7","4THST","ARK17",-97.99403,-98.11185,38.05728,38.14462,0.140625,0.407108516483516,0.415178571428571,0.0286744505494505,0.00841346153846154,16089.0361841078,20470.7907305733,0,0
"8","4THST","ARK18",-97.99403,-98.08771,38.05728,38.13102,0.145837723919916,0.395152792413066,0.422128556375132,0.0288724973656481,0.00800842992623815,13075.8819044996,16636.7568248784,0,0
"9","4THST","ARK19",-97.99403,-97.866691,38.05728,37.984674,0.163901911287414,0.407320591417238,0.319329246303642,0.100252434186801,0.00919581680490444,15251.2970936366,19396.7092416848,0,0
"10","4THST","ARK22",-97.99403,-97.30173,38.05728,37.58532,0.174554222272065,0.493187170573063,0.202842884378154,0.120051586856566,0.00936413592015252,100458.00551152,127351.746245124,0,0
"11","4THST","ARK23",-97.99403,-97.29301,38.05728,37.57336,0.174526356312041,0.493524348997718,0.203481177991036,0.119558940797976,0.00890917590122914,102408.826361268,129804.415366191,0,0
"12","4THST","ARK4",-97.99403,-98.684,38.05728,38.35282,0.161956954352019,0.369378195511741,0.383583871659064,0.0206043535498883,0.0644766249272878,91347.7392991439,116140.239961974,257.24963661926,0
"13","4THST","ARK5",-97.99403,-98.58244,38.05728,38.33884,0.15708527789563,0.3520011313817,0.416100975816716,0.0227690567105077,0.0520435581954462,78972.5946831597,100606.887205853,0,0
"14","4THST","ARK6",-97.99403,-98.46499,38.05728,38.29079,0.15319699946419,0.341489551705662,0.452670119664226,0.0236202893373817,0.0290230398285408,62575.9743172286,79687.7106432965,0,0
"15","4THST","ARK7",-97.99403,-98.41589,38.05728,38.26933,0.156976451011043,0.348847763602441,0.447582068478645,0.0193636226110635,0.027230094296808,55397.192101694,70533.1559352021,0,0
"16","4THST","ARK8",-97.99403,-98.36144,38.05728,38.23219,0.146244590669275,0.355444898927026,0.463750074100421,0.0190289880846523,0.0155314482186259,47037.9434177948,59878.1089750413,0,0
"17","4THST","ARK9",-97.99403,-98.3203,38.05728,38.20866,0.161902803482076,0.361642333264789,0.439509219274796,0.0190554527383645,0.0178901912399753,40570.6073523666,51640.8233866604,0,0
"18","4THST","CARYP",-97.99403,-97.92588,38.05728,38.0271,0.0783676417479234,0.333333333333333,0.415673528349585,0.172264355362947,0.000361141206211629,7505.16074223977,9560.88854871573,0,0
"19","4THST","CCDC",-97.99403,-97.96673,38.05728,38.07059,0.0673701298701299,0.191017316017316,0.36525974025974,0.375811688311688,0.000541125541125541,9913.25101296332,12626.2649935638,0,0
"20","4THST","CNCSC",-97.99403,-97.100633,38.05728,37.089866,0.150481286808942,0.624042175922994,0.138639098220505,0.074171996706985,0.0126654423405737,180729.899822764,228474.688800582,0,0
"21","4THST","COW1",-97.99403,-97.84379,38.05728,37.98472,0.183592510314186,0.410028562361155,0.302602348460806,0.0896540780704538,0.0141225007933989,17241.9227275385,21923.6375526258,0,0
"22","4THST","KAWN",-97.99403,-96.972951,38.05728,37.045428,0.138969930654312,0.648404169537744,0.130481314782507,0.0704745708044393,0.0116700142209972,195253.365501907,246680.857729345,0,0
"23","4THST","PECK",-97.99403,-98.24692,38.05728,38.1588,0.153315382026254,0.33061258835409,0.446735106024907,0.0258330528441602,0.043503870750589,33627.8039663332,42802.1357797697,0,0
"24","4THST","QNWR1",-97.99403,-98.50794,38.05728,38.10052,0.0824066336697307,0.290480169698528,0.59956932570547,0.0156521180176127,0.0118917529086585,94897.2949085535,120710.490490484,0,0
"25","4THST","QNWR2",-97.99403,-98.5,38.05728,38.13263,0.0809036980941562,0.268395809668055,0.614066641423703,0.018711346712104,0.0179225041019816,96555.0868333245,122831.414321586,0,0
"26","4THST","QNWR3",-97.99403,-98.543289,38.05728,38.158178,0.092873681502444,0.314638538718806,0.567165276195376,0.0156933367635709,0.00962916681980227,79617.4205166029,87960.8414640633,13330.5160766303,0
"27","4THST","QNWR4",-97.99403,-98.55292,38.05728,38.16189,0.0937662337662338,0.31569573283859,0.565454545454545,0.0153617810760668,0.00972170686456401,79099.2834562335,87960.8414640633,12690.6040818983,0
"28","4THST","QNWR5",-97.99403,-98.55656,38.05728,38.1604,0.0933195465120573,0.318438642490491,0.563277816758374,0.0152886000221574,0.00967539421692086,79458.4799364047,87960.8414640633,13141.0710928716,0
"29","4THST","QNWR6",-97.99403,-98.57553,38.05728,38.15858,0.091744118501307,0.298685739180947,0.584664536741214,0.0153935521347662,0.0095120534417659,81285.6168052099,87960.8414640633,15439.4172611502,0
"30","4THST","QNWR7",-97.99403,-98.54501,38.05728,38.20189,0.0996293959943227,0.277440466803343,0.596278189560006,0.0163223466330232,0.0103296010093045,74607.235607079,87960.8414640633,6919.70815810706,0
"31","4THST","QNWR8",-97.99403,-98.48615,38.05728,38.22254,0.11197270471464,0.262539879475363,0.597084367245658,0.016793690180787,0.0116093583835519,65513.8687138386,83279.3866788452,0,0
"32","4THST","RATT2016",-97.99403,-98.38023,38.05728,38.23193,0.142274580879021,0.329802899864069,0.493543271409153,0.0195400996828274,0.0148391481649298,50100.6265752354,63785.2717418333,0,0
"33","4THST","RATTLE1",-97.99403,-98.922868,38.05728,37.858188,0.0417850820923397,0.281842246293259,0.616187862351203,0.0167595043603943,0.0434253049028046,204512.626325836,259922.860468974,0,0
"34","4THST","RATTLE2",-97.99403,-98.85284,38.05728,37.880905,0.0445417719765952,0.275750441436139,0.625471730775889,0.0163591039711941,0.0378769518401828,190672.454900127,242366.488024956,0,0
"35","4THST","RATTLE3",-97.99403,-98.878166,38.05728,37.867076,0.043423228811557,0.273568029162588,0.627653829277348,0.016893374286968,0.0384615384615385,196251.082423954,249441.42149753,0,0
"36","4THST","RATTLE4",-97.99403,-98.98591,38.05728,37.83914,0.0396456086286595,0.28824345146379,0.602557781201849,0.0184129429892142,0.0511402157164869,216098.593071053,274605.443752341,0,0
"37","4THST","RATTLE5",-97.99403,-98.80733,38.05728,37.97086,0.0504203327389234,0.263428112323882,0.639572024847642,0.0153240187337109,0.0312555113558425,167022.292297297,212340.318587573,0,0
"38","4THST","RATTLE6",-97.99403,-98.71805,38.05728,38.08023,0.0607654935418889,0.233653276454556,0.673658016352648,0.0153809693091599,0.0165422443417467,132432.078391001,168368.802190532,0,0
"39","4THST","RATTLE7",-97.99403,-98.71077,38.05728,38.08563,0.0611991598243269,0.235225319839603,0.671496085545159,0.0154191330914646,0.0166603016994462,131529.867487081,167221.784624713,0,0
"40","4THST","RATTLE8",-97.99403,-98.67424,38.05728,38.08025,0.0635818082626593,0.242895402469871,0.661037544016267,0.0151763130486535,0.0173089322025492,126636.39557487,160999.117891692,0,0
"41","4THST","RATTLE9",-97.99403,-98.546,38.05728,38.09336,0.078263789261622,0.282470010072953,0.612343945545008,0.0156283385733036,0.0112939165471139,99721.8189210988,126844.376080291,0,0
"42","4THST","SLATE1",-97.99403,-97.642435,38.05728,37.419675,0.182829493784359,0.473717180226593,0.174329563987083,0.0613571806586096,0.107766581343356,275371.502879246,343362.62312086,3934.0572365306,0
"43","4THST","SLATE2",-97.99403,-97.749168,38.05728,37.430152,0.18642864387869,0.445420428035298,0.189268688507962,0.0597423673800588,0.119139872197992,293224.094952459,363858.310828059,5853.6818737089,0
"44","4THST","SLATE3",-97.99403,-97.733499,38.05728,37.444234,0.18652456832505,0.450007685607419,0.185387098427012,0.0601219449710509,0.117958702669468,290049.187476252,361772.3037573,3934.0572365306,0
"45","4THST","SLATE4",-97.99403,-97.731541,38.05728,37.445164,0.186521904214599,0.450644965981508,0.185013391895081,0.0600634190893511,0.117756318819461,289590.937153832,361194.632401544,3934.0572365306,0
"46","4THST","WALNUT",-97.99403,-98.68261,38.05728,38.35423,0.162036185219258,0.369150567310641,0.383777982214045,0.0206378411530205,0.0643974241030359,91121.3908610257,115851.151621741,257.24963661926,0
"47","ARK10","ARK11",-98.49562,-98.27055,38.31265,38.19434,0.13255934846647,0.309565066712875,0.479119736614105,0.0298908334777335,0.0488650147288165,32263.465878542,41130.1902227321,0,0
"48","ARK10","ARK13",-98.49562,-97.36924,38.31265,37.69531,0.175450149579484,0.4370919490489,0.321849893695084,0.0445351746975484,0.0210728329789836,149440.190589288,189881.391913972,0,0
"49","ARK10","ARK14",-98.49562,-97.36298,38.31265,37.70825,0.177531814371714,0.438885925474358,0.324678046178465,0.0375676293530443,0.0213365846224187,147578.413195318,187524.575379177,0,0
"50","ARK10","ARK15",-98.49562,-97.28796,38.31265,37.56599,0.163922278939569,0.433920632306932,0.302321752017125,0.0813436522311872,0.0184916845051869,170801.920610476,216906.582968329,0,0
"51","ARK10","ARK16",-98.49562,-98.2065,38.31265,38.16953,0.129911455451024,0.313710570005534,0.477172108467072,0.0292612064194798,0.0499446596568899,40390.2718235567,51480.4789669103,0,0
