"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams"
"1","BIGSAND","BLUFF",-99.78689,-99.68433,37.04468,37.3077,0.000617392838243076,0.100429235020874,0.858911036631975,0.0106426765449521,0.029399658963956,100940.179495108,123637.205017939,3178.54357362858,0
"2","BIGSAND","BLUFF160",-99.78689,-99.50246,37.04468,37.19238,0.000428945223694934,0.11259812121992,0.855145197958221,0.00797838116072578,0.0238493544374383,69497.9301136912,87261.2846526941,0,0
"3","BIGSAND","BLUFFTW",-99.78689,-99.477247,37.04468,37.02709,0,0.170816767803585,0.817674548371347,0.00788170468019809,0.00362697914486992,43670.8808900099,54806.216389958,0,0
"4","BIGSAND","CAL160",-99.78689,-99.459615,37.04468,37.192492,9.09587047480444e-05,0.117473167182099,0.863289066763689,0.00927778788430053,0.00986901946516282,66595.9941413907,83631.525643838,0,0
"5","BIGSAND","CAV1",-99.78689,-99.34599,37.04468,37.26467,0.000395086559873572,0.149306802672222,0.829107104374686,0.0124991020760003,0.00869190431721859,84172.1424215178,105633.048093552,0,0
"6","BIGSAND","CAV2",-99.78689,-99.35143,37.04468,37.2383,0.000412417516496701,0.122000599880024,0.85745350929814,0.0110602879424115,0.00907318536292741,80657.357319767,101239.104220252,0,0
"7","BIGSAND","CCBS",-99.78689,-100.161843,37.04468,37.01395,0,0.17890439675622,0.814530810393336,0.00606829591217521,0.000496496938268881,54101.7566402565,67571.7806711469,0,0
"8","BIGSAND","CIM1",-99.78689,-99.48258,37.04468,37.02645,0,0.174562867300297,0.815279692374664,0.00703765508234782,0.00311978524269027,41953.1087981619,52646.1370936653,0,0
"9","BIGSAND","CIM2",-99.78689,-99.63211,37.04468,37.0635,0,0.254274965800274,0.729480164158687,0.00889192886456908,0.00735294117647059,19140.9082538645,24028.8026587923,0,0
"10","BIGSAND","CIM3",-99.78689,-99.7765,37.04468,37.03775,0,0.158357771260997,0.821847507331378,0.0197947214076246,0,4472.76633498788,5627.21498731092,0,0
"11","BIGSAND","CIM4",-99.78689,-100.49239,37.04468,37.01122,0.000346320346320346,0.27812987012987,0.714112554112554,0.00460606060606061,0.00280519480519481,84645.3933639027,106032.59249531,0,0
