"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams"
"1","HESPR","LIBR",-94.271088,-94.327703,36.259268,36.256586,0.317869703567242,0.0212694691006532,0.0165801373304304,0.0499078881259421,0.594372801875733,17755.0936784616,19945.5326886412,932.338155093334,0
"2","HESPR","PAHO",-94.271088,-94.40708,36.259268,36.22638,0.404228383339663,0.0929231548297253,0.00405114571464742,0.0222813014305608,0.476516014685403,23285.0609133091,27443.7959754748,0,0
"3","HESPR","SVGC",-94.271088,-94.22653,36.259268,36.2877,0.4229853116316,0.00198491464867011,0.00436681222707424,0.0960698689956332,0.474593092497023,14946.9239002553,17236.2975616094,0,0
"4","HESPR","TUSPR",-94.271088,-94.302615,36.259268,36.15221,0.427285714285714,0.0697142857142857,0.002,0.0288571428571429,0.472142857142857,20803.6571085341,24123.5413280333,0,0
"5","HESPR","WISPR",-94.271088,-94.184184,36.259268,36.106462,0.438312946255604,0.121104776664637,0.00470471024519843,0.0557369790225273,0.380140587812033,53151.2814936009,63347.9427470402,282.432750428739,0
"6","LIBR","PAHO",-94.327703,-94.40708,36.256586,36.22638,0.227815114524757,0.0905225620628172,0.0141270058976821,0.048141544369771,0.619393773144973,21792.8555285667,25487.816840907,932.338155093334,0
"7","LIBR","SVGC",-94.327703,-94.22653,36.256586,36.2877,0.299363851814893,0.0170886865411002,0.0118498191343395,0.0900586254209804,0.581639017088687,23896.6913103522,28236.7330847535,932.338155093334,0
"8","LIBR","TUSPR",-94.327703,-94.302615,36.256586,36.15221,0.228254067584481,0.0647684605757197,0.0132978723404255,0.0589799749687109,0.634699624530663,19311.4517237917,22167.5621934654,932.338155093334,0
"9","LIBR","WISPR",-94.327703,-94.184184,36.256586,36.106462,0.365828512515035,0.121083681768715,0.00893521965748325,0.0677014720201615,0.436451114038605,51659.0761088584,61391.9636124723,1214.77090552207,0
"10","PAHO","SVGC",-94.40708,-94.22653,36.22638,36.2877,0.371543489190548,0.0748114630467572,0.00281548516842634,0.0603318250377074,0.490497737556561,29426.6585451997,35734.9963715871,0,0
"11","PAHO","TUSPR",-94.40708,-94.302615,36.22638,36.15221,0.3392632524708,0.0485175202156334,0.00323450134770889,0.040251572327044,0.568733153638814,16754.7400902518,20426.0737389793,0,0
"12","PAHO","WISPR",-94.40708,-94.184184,36.22638,36.106462,0.401655090882223,0.110684202748633,0.00450716713462391,0.0760307374020984,0.407122801832422,39872.2843820739,48314.5112760089,282.432750428739,0
"13","SVGC","TUSPR",-94.22653,-94.302615,36.2877,36.15221,0.386137519345567,0.0550519566659297,0.0011054609772275,0.0692018571744417,0.488503205836834,26945.2547404247,32414.7417241456,0,0
"14","SVGC","WISPR",-94.22653,-94.184184,36.2877,36.106462,0.418684432953811,0.109282553572316,0.00402724605976234,0.0711480137224681,0.396857753691642,59292.8791254915,71639.1431431525,282.432750428739,0
"15","TUSPR","WISPR",-94.302615,-94.184184,36.15221,36.106462,0.420390262505562,0.109578592766796,0.00451280747473463,0.0670565054344372,0.398461831818471,46620.9606705436,56330.2205105446,282.432750428739,0
