"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams","streamsum","over"
"1","ENESC","INDDS",-99.19666,-99.048232,37.223386,37.134068,0.00203845892505266,0.139770333627777,0.852687368349528,0.00550383909764218,0,44124.7044752287,55474.3103432906,2.02867605178457,0,55476.3390193424,1.25726256252858
"2","ENESC","MNESC",-99.19666,-99.23279,37.223386,37.22316,0.00022878059940517,0.294211850835049,0.695035460992908,0.0105239075726378,0,13334.1545938168,15130.3547245692,1663.28749270163,0,16793.6422172708,1.25944559132817
"3","ENESC","MULE3",-99.19666,-99.04404,37.223386,37.28111,0.0166856137005391,0.136528658916719,0.841468334005647,0.00447394477245224,0.000843448604642634,80360.7520433515,100912.941870232,2.02867605178457,0,100914.970546284,1.25577434232876
"4","ENESC","MULE5",-99.19666,-99.20602,37.223386,37.33461,0.0299816778635278,0.132113708289379,0.811004386208428,0.0127699739048359,0.0141302537338293,106104.79806515,133317.475918436,2.02867605178457,0,133319.504594488,1.25648893382397
"5","ENESC","MULEJP",-99.19666,-98.980556,37.223386,37.112351,0.00239901807632225,0.163914304842669,0.82911180540058,0.00457487168042848,0,53356.2155425271,67075.1305571003,2.02867605178457,0,67077.1592331521,1.25715736303841
"6","ENESC","SFARDJ",-99.19666,-99.162801,37.223386,37.091044,0.000332815620146439,0.166851564233415,0.819835810960728,0.00543598846239183,0.00754382072331928,27891.4206021946,35067.3895929923,2.02867605178457,0,35069.4182690441,1.25735504007582
"7","ENESC","ZBAR1",-99.19666,-98.987271,37.223386,37.103899,0.00201752363384828,0.158923218814849,0.834332487894858,0.00472676965644455,0,51705.3106211384,64999.8338460153,2.02867605178457,0,65001.8625220671,1.25716027505099
"8","ENESC","ZBAR2",-99.19666,-98.991953,37.223386,37.092788,0.00113656756595083,0.14739486750015,0.846563378596638,0.00490518633726147,0,49864.5598527856,62688.1922671828,2.02867605178457,0,62690.2209432345,1.25720995288666
"9","INDDS","MNESC",-99.048232,-99.23279,37.134068,37.22316,0.00212110845022237,0.170304481696887,0.822579541566883,0.00499486828600753,0,44223.8463518349,53934.2058294316,1665.31616875341,0,55599.521998185,1.25722944937552
"10","INDDS","MULE3",-99.048232,-99.04404,37.134068,37.28111,0.0316455696202532,0.117053832243706,0.842815412435666,0.00688551954374739,0.00159966615662818,41375.5393625998,51913.486857712,0,0,51913.486857712,1.2546902749173
"11","INDDS","MULE5",-99.048232,-99.20602,37.134068,37.33461,0.0466905883878777,0.117547879469111,0.794864035277333,0.0188923954865765,0.0220051013791016,67119.5853843978,84318.0209059158,0,0,84318.0209059158,1.25623572349295
"12","INDDS","MULEJP",-99.048232,-98.980556,37.134068,37.112351,0.00854361215974568,0.17842241208027,0.801311345122193,0.0117226306377906,0,14371.0028617753,18075.6755445801,0,0,18075.6755445801,1.25778804154709
"13","INDDS","SFARDJ",-99.048232,-99.162801,37.134068,37.091044,0.00430472214975215,0.0721367075397861,0.907122358465954,0.00756587529350378,0.00887033655100444,21996.7365253881,27656.5398534382,0,0,27656.5398534382,1.25730195574774
"14","INDDS","ZBAR1",-99.048232,-98.987271,37.134068,37.103899,0.00785281579537806,0.160870540722459,0.818039039712811,0.0132376037693516,0,12720.0979403867,16000.3788334951,0,0,16000.3788334951,1.25788173239558
"15","INDDS","ZBAR2",-99.048232,-98.991953,37.134068,37.092788,0.00496602195504443,0.110820700470465,0.868792472556194,0.0154208050182959,0,10879.3471720338,13688.7372546625,0,0,13688.7372546625,1.25823149479506
"16","MNESC","MULE3",-99.23279,-99.04404,37.22316,37.28111,0.016785070121839,0.152942908675967,0.825229138292782,0.00419626753045975,0.000846615378952405,80459.8939199577,99372.8373563732,1665.31616875341,0,101038.153525127,1.25575797583875
"17","MNESC","MULE5",-99.23279,-99.20602,37.22316,37.33461,0.0300946547884187,0.144515590200445,0.798635857461025,0.0125835189309577,0.0141703786191537,106203.939941756,131777.371404577,1665.31616875341,0,133442.68757333,1.25647586752914
"18","MNESC","MULEJP",-99.23279,-98.980556,37.22316,37.112351,0.00246885871394905,0.189092133318371,0.804286836494221,0.00415217147345977,0,53455.3574191332,65535.0260432413,1665.31616875341,0,67200.3422119947,1.25713016349493
"19","MNESC","SFARDJ",-99.23279,-99.162801,37.22316,37.091044,0.000448833034111311,0.217235188509874,0.770085278276481,0.00460053859964093,0.00763016157989228,27990.5624788008,33527.2850791333,1665.31616875341,0,35192.6012478867,1.25730239521055
