ind,site,meta
1065,BWWA4,South Fork Ninnescah River
1245,CHIK1,Chikaskia River
1325,CHIK19,Chikaskia River
1381,CHIK29,Chikaskia River
1571,CHN7,North Fork Ninnescah River
1704,CIMAD,Cimarron River
1879,ENESC,Salt Fork Arkansas River
1911,GOOSECREEKHWY11,North Fork Ninnescah River
1942,KAWN,Lower Arkansas River
1959,KC160,Cimarron River
2042,MLR3,Medicine Lodge River
2076,MLRBB,Medicine Lodge River
2225,NESS2,Walnut Creek
2245,NESS3,Walnut Creek
2362,OKLA,Cimarron River
2499,RATTLE1,Rattlesnake Creek
2752,SFNR4,South Fork Ninnescah River
2859,SPNGR1,Spring River
2865,SPRINGSG,South Fork Ninnescah River
3079,ZBAR1,Salt Fork Arkansas River
3088,FISHWAY,Lower Arkansas River
Ecr039,BSC,Big Sandy / Rush Creeks
Ecr080,UTFC,Upper Arkansas River
926,ARK9,Lower Arkansas River
