ind,site,meta
93,SRC,Colorado
94,SRC,Colorado
95,SRC,Colorado
96,SRC,Colorado
97,SRC,Colorado
99,SRC,Colorado
100,SRC,Colorado
104,SRC,Colorado
105,SRC,Colorado
125,HPSWA,Colorado
126,HPSWA,Colorado
127,HPSWA,Colorado
128,HPSWA,Colorado
129,HPSWA,Colorado
164,VDRW,Colorado
166,VDRW,Colorado
167,VDRW,Colorado
170,VDRW,Colorado
173,VDRW,Colorado
175,VDRW,Colorado
178,VDRW,Colorado
180,VDRW,Colorado
194,WHC,Colorado
197,WHC,Colorado
198,WHC,Colorado
199,WHC,Colorado
201,WHC,Colorado
202,WHC,Colorado
203,WHC,Colorado
204,WHC,Colorado
206,WHC,Colorado
207,WHC,Colorado
297,WMVD,Colorado
300,WMVD,Colorado
301,WMVD,Colorado
302,WMVD,Colorado
306,WMVD,Colorado
308,WMVD,Colorado
309,WMVD,Colorado
370,USBC,Colorado
371,USBC,Colorado
372,USBC,Colorado
375,USBC,Colorado
377,USBC,Colorado
381,USBC,Colorado
382,USBC,Colorado
383,USBC,Colorado
385,USBC,Colorado
386,USBC,Colorado
432,RC2,Colorado
433,RC2,Colorado
434,RC2,Colorado
436,RC2,Colorado
437,RC2,Colorado
439,RC2,Colorado
441,RC2,Colorado
443,RC2,Colorado
491,UTFC2,Colorado
492,UTFC2,Colorado
493,UTFC2,Colorado
494,UTFC2,Colorado
495,UTFC2,Colorado
522,BSQ,Colorado
523,BSQ,Colorado
524,BSQ,Colorado
525,BSQ,Colorado
526,BSQ,Colorado
552,BSQ,Colorado
553,BSQ,Colorado
554,BSQ,Colorado
555,BSQ,Colorado
556,BSQ,Colorado
647,HCR,Colorado
648,HCR,Colorado
649,HCR,Colorado
650,HCR,Colorado
651,HCR,Colorado
715,2008-24,NFNinnescah
716,2008-24,NFNinnescah
717,2008-24,NFNinnescah
718,2008-24,NFNinnescah
719,2008-24,NFNinnescah
720,2008-24,NFNinnescah
721,2008-24,NFNinnescah
722,2008-24,NFNinnescah
723,2008-24,NFNinnescah
724,2008-24,NFNinnescah
735,4THST,LowerArk
736,4THST,LowerArk
738,AMBER2,Medicine
739,AMBER2,Medicine
740,AMBER2,Medicine
741,AMBER2,Medicine
743,AMBER2,Medicine
744,AMBER2,Medicine
745,AMBER2,Medicine
746,AMBER2,Medicine
758,ARK10,LowerArk
759,ARK10,LowerArk
760,ARK10,LowerArk
761,ARK10,LowerArk
762,ARK10,LowerArk
763,ARK10,LowerArk
764,ARK10,LowerArk
765,ARK10,LowerArk
766,ARK10,LowerArk
767,ARK10,LowerArk
775,ARK11,LowerArk
