ind,site,meta
93,SRC,Big Sandy / Rush Creeks
94,SRC,Big Sandy / Rush Creeks
95,SRC,Big Sandy / Rush Creeks
96,SRC,Big Sandy / Rush Creeks
97,SRC,Big Sandy / Rush Creeks
99,SRC,Big Sandy / Rush Creeks
100,SRC,Big Sandy / Rush Creeks
104,SRC,Big Sandy / Rush Creeks
105,SRC,Big Sandy / Rush Creeks
125,HPSWA,Hugo Ponds Hatchery Population
126,HPSWA,Hugo Ponds Hatchery Population
127,HPSWA,Hugo Ponds Hatchery Population
128,HPSWA,Hugo Ponds Hatchery Population
129,HPSWA,Hugo Ponds Hatchery Population
164,VDRW,Middle Arkansas River
166,VDRW,Middle Arkansas River
167,VDRW,Middle Arkansas River
170,VDRW,Middle Arkansas River
173,VDRW,Middle Arkansas River
175,VDRW,Middle Arkansas River
178,VDRW,Middle Arkansas River
180,VDRW,Middle Arkansas River
194,WHC,Middle Arkansas River
197,WHC,Middle Arkansas River
198,WHC,Middle Arkansas River
199,WHC,Middle Arkansas River
201,WHC,Middle Arkansas River
202,WHC,Middle Arkansas River
203,WHC,Middle Arkansas River
204,WHC,Middle Arkansas River
206,WHC,Middle Arkansas River
207,WHC,Middle Arkansas River
297,WMVD,Middle Arkansas River
300,WMVD,Middle Arkansas River
301,WMVD,Middle Arkansas River
302,WMVD,Middle Arkansas River
306,WMVD,Middle Arkansas River
308,WMVD,Middle Arkansas River
309,WMVD,Middle Arkansas River
370,USBC,Middle Arkansas River
371,USBC,Middle Arkansas River
372,USBC,Middle Arkansas River
375,USBC,Middle Arkansas River
377,USBC,Middle Arkansas River
381,USBC,Middle Arkansas River
382,USBC,Middle Arkansas River
383,USBC,Middle Arkansas River
385,USBC,Middle Arkansas River
386,USBC,Middle Arkansas River
432,RC2,Big Sandy / Rush Creeks
433,RC2,Big Sandy / Rush Creeks
434,RC2,Big Sandy / Rush Creeks
436,RC2,Big Sandy / Rush Creeks
437,RC2,Big Sandy / Rush Creeks
439,RC2,Big Sandy / Rush Creeks
441,RC2,Big Sandy / Rush Creeks
443,RC2,Big Sandy / Rush Creeks
491,UTFC2,Upper Arkansas River
492,UTFC2,Upper Arkansas River
493,UTFC2,Upper Arkansas River
494,UTFC2,Upper Arkansas River
495,UTFC2,Upper Arkansas River
522,BSQ,Upper Arkansas River
523,BSQ,Upper Arkansas River
524,BSQ,Upper Arkansas River
525,BSQ,Upper Arkansas River
526,BSQ,Upper Arkansas River
552,BSQ,Upper Arkansas River
553,BSQ,Upper Arkansas River
