SITE NAME,y,x
2008-24,37.74844,-97.86792
4THST,38.05728,-97.99403
AMBER1,37.38788,-98.59454
AMBER2,37.44715,-98.61732
ARK10,38.31265,-98.49562
ARK11,38.19434,-98.27055
ARK12,37.69278,-97.36087
ARK13,37.69531,-97.36924
ARK14,37.70825,-97.36298
ARK15,37.56599,-97.28796
ARK16,38.16953,-98.2065
ARK17,38.14462,-98.11185
ARK18,38.13102,-98.08771
ARK19,37.984674,-97.866691
ARK20,37.47407,-97.26086
ARK21,37.34909,-97.17286
ARK22,37.58532,-97.30173
ARK23,37.57336,-97.29301
ARK24,37.55192,-97.28545
ARK25,37.111503,-97.128639
ARK4,38.35282,-98.684
ARK5,38.33884,-98.58244
ARK6,38.29079,-98.46499
ARK7,38.26933,-98.41589
ARK8,38.23219,-98.36144
ARK9,38.20866,-98.3203
BIGSAND,37.04468,-99.78689
BLUFF,37.3077,-99.68433
BLUFF160,37.19238,-99.50246
BLUFFTW,37.02709,-99.477247
BWWA1,37.65186,-98.27871
BWWA10,37.644541,-98.254876
BWWA11,37.64511,-98.26425
BWWA12,37.6431,-98.25762
BWWA2,37.65656,-98.27998
BWWA3,37.65772,-98.28032
BWWA4,37.65816,-98.27396
BWWA5,37.66079,-98.26528
BWWA6,37.65286,-98.27589
BWWA7,37.63909,-98.33222
BWWA8,37.63691,-98.30518
BWWA9,37.64219,-98.30233
CAL160,37.192492,-99.459615
CARYP,38.0271,-97.92588
CAV1,37.26467,-99.34599
CAV2,37.2383,-99.35143
CCBS,37.01395,-100.161843
CCDC,38.07059,-97.96673
CCDC2,38.07269,-97.96683
CHIK1,37.51486,-98.44981
CHIK10,37.45729,-98.08385
CHIK11,37.44556,-98.0815
CHIK12,37.42858,-98.05421
CHIK13,37.43978,-98.04478
CHIK14,37.45803,-98.02432
CHIK15,37.45808,-98.00928
CHIK16,37.4384,-97.9898
CHIK17,37.36702,-97.90465
CHIK18,37.37137,-97.85062
CHIK19,37.34221,-97.86757
CHIK2,37.51179,-98.44658
CHIK20,37.30288,-97.89481
CHIK21,37.25002,-97.80236
CHIK22,37.30439,-97.83985
CHIK23,37.28528,-97.80837
CHIK24,37.246785,-97.767251
CHIK25,37.244,-97.76067
CHIK26,37.25621,-97.77969
CHIK27,37.25624,-97.70844
CHIK28,37.12911,-97.60213
CHIK29,37.15614,-97.59634
CHIK3,37.48528,-98.42821
CHIK4,37.47151,-98.37337
CHIK5,37.48581,-98.33998
CHIK6,37.47369,-98.2821
CHIK7,37.44685,-98.20168
CHIK8,37.4714,-98.18209
CHIK9,37.43876,-98.1632
CHN1,37.83875,-97.91703
CHN10,37.815516,-97.897718
CHN2,37.72523,-97.83884
CHN3,37.77217,-97.89163
CHN4,37.75976,-97.87919
CHN5,37.73985,-97.84568
CHN6,37.72228,-97.82925
CHN7,37.8251,-97.89909
CHN8,37.802728,-97.90273
CHN9,37.813036,-97.909564
CIM1,37.02645,-99.48258
CIM2,37.0635,-99.63211
CIM3,37.03775,-99.7765
CIM4,37.01122,-100.49239
CIM5,37.07038,-100.65219
CIM6,37.07182,-100.66195
CIM7,37.07943,-100.66858
CIM8,37.099,-100.69992
CIMAB,37.062706,-99.637778
CIMAB2,37.071612,-99.602313
CIMABRW1,37.066483,-99.615206
CIMABRW2,37.075967,-99.580482
CIMAD,37.006088,-100.506927
CIMAD2,37.016236,-100.479759
CIMBB,37.070261,-99.555402
CIMBB2,37.049331,-99.53309
CIMDA,37.048181,-99.742604
CIMDA2,37.052819,-99.700731
CIMMG,37.030958,-99.799569
CIMMG2,37.016021,-99.830949
CIMTW,37.038702,-99.513341
CIMTW2,37.028878,-99.488196
CIMTW3,37.012874,-99.462624
CLRH2O2,37.57649,-97.63457
CLRH2O3,37.59066,-97.6348
CNCSC,37.089866,-97.100633
COON,37.534594,-97.935568
COW1,37.98472,-97.84379
CRCRK1,37.03291,-100.21098
CRCRK2,37.09197,-100.32962
CRCRK3,37.21232,-100.36559
DAY,37.07019,-99.63267
DOG,37.30948,-98.82162
ELM1,37.27576,-98.57282
ELM2,37.38811,-98.61018
ENESC,37.223386,-99.19666
ETELM1,37.36725,-98.53781
ETELM2,37.35406,-98.55045
ETMLR1,37.24925,-98.55103
FISHWAY,37.671658,-97.343284
GOOSECREEKHWY11,37.82398,-98.1945
HAVN,37.94643,-97.77286
INDDS,37.134068,-99.048232
KAWN,37.045428,-96.972951
KC160,37.19247,-99.468415
KDOT1,37.64638,-98.24527
KMCP,37.641212,-98.111802
LAWRENCE-DUMONT,37.681314,-97.343217
LSMC,37.58649,-97.84442
MLPARK1,37.27793,-98.57507
MLPARK2,37.27649,-98.57575
MLR-A,37.36983,-98.91833
MLR1,37.27553,-98.59007
MLR2,37.0251,-98.42017
MLR3,37.039456,-98.469581
MLR4,37.15624,-98.52927
MLR5,37.28673,-98.63367
MLR6,37.29271,-98.65923
MLR7,37.31271,-98.73135
MLR8,37.3413,-98.82143
MLR9,37.43661,-99.11317
MLRBB,37.228776,-98.556693
MLRHA,37.370407,-98.925473
MLRHD,37.094618,-98.507167
MLRJS,37.02509,-98.41988
MLRLW,37.263947,-98.591065
MLRLW2,37.270713,-98.595452
MLRMW,37.370313,-98.920051
MNESC,37.22316,-99.23279
MULE3,37.28111,-99.04404
MULE5,37.33461,-99.20602
MULEJP,37.112351,-98.980556
MULEKY,37.094936,-98.985634
NAT,37.66363,-98.64602
NBSC1,37.78663,-98.42899
NELM1,37.45623,-98.71767
NELM2,37.47075,-98.71848
NESDJ,37.096986,-99.149352
NESS1,38.464021,-99.953936
NESS2,38.503783,-100.052172
NESS3,38.53469,-100.18167
NFN1,37.85324,-98.62206
NFN2,37.70328,-97.78951
NFN3,37.91429,-98.49034
NFN4,37.94103,-98.41734
NFN5,37.96033,-98.32584
NFN6,37.84977,-98.10513
NFNINN,37.86328,-98.01358
NFNINNSF,37.91027,-98.5269
NFNTS,37.613479,-97.737699
NFOLD14,37.9045,-98.17896
NINNR1,37.56208,-97.69138
NINNR2,37.53813,-97.64352
NINNR3,37.49063,-97.51481
NTELM,37.45625,-98.65506
NTNR1,37.51865,-97.56127
OKLA,36.99892,-99.4553
PAINTER,37.58871,-98.39211
PECK,38.1588,-98.24692
QNWR1,38.10052,-98.50794
QNWR2,38.13263,-98.5
QNWR3,38.158178,-98.543289
QNWR4,38.16189,-98.55292
QNWR5,38.1604,-98.55656
QNWR6,38.15858,-98.57553
QNWR7,38.20189,-98.54501
QNWR8,38.22254,-98.48615
QNWR9,38.22049,-98.48917
RATT2016,38.23193,-98.38023
RATTLE1,37.858188,-98.922868
RATTLE2,37.880905,-98.85284
RATTLE3,37.867076,-98.878166
RATTLE4,37.83914,-98.98591
RATTLE5,37.97086,-98.80733
RATTLE6,38.08023,-98.71805
RATTLE7,38.08563,-98.71077
